timestamp,price_eur_per_mwh,price_eur_per_kwh
2024-01-01 00:00:00,0.1,0.0001
2024-01-01 00:15:00,0.1,0.0001
2024-01-01 00:30:00,0.1,0.0001
2024-01-01 00:45:00,0.1,0.0001
2024-01-01 01:00:00,0.01,1e-05
2024-01-01 01:15:00,0.01,1e-05
2024-01-01 01:30:00,0.01,1e-05
2024-01-01 01:45:00,0.01,1e-05
2024-01-01 02:00:00,0.0,0.0
2024-01-01 02:15:00,0.0,0.0
2024-01-01 02:30:00,0.0,0.0
2024-01-01 02:45:00,0.0,0.0
2024-01-01 03:00:00,-0.01,-1e-05
2024-01-01 03:15:00,-0.01,-1e-05
2024-01-01 03:30:00,-0.01,-1e-05
2024-01-01 03:45:00,-0.01,-1e-05
2024-01-01 04:00:00,-0.03,-2.9999999999999997e-05
2024-01-01 04:15:00,-0.03,-2.9999999999999997e-05
2024-01-01 04:30:00,-0.03,-2.9999999999999997e-05
2024-01-01 04:45:00,-0.03,-2.9999999999999997e-05
2024-01-01 05:00:00,-0.02,-2e-05
2024-01-01 05:15:00,-0.02,-2e-05
2024-01-01 05:30:00,-0.02,-2e-05
2024-01-01 05:45:00,-0.02,-2e-05
2024-01-01 06:00:00,-0.05,-5e-05
2024-01-01 06:15:00,-0.05,-5e-05
2024-01-01 06:30:00,-0.05,-5e-05
2024-01-01 06:45:00,-0.05,-5e-05
2024-01-01 07:00:00,-0.02,-2e-05
2024-01-01 07:15:00,-0.02,-2e-05
2024-01-01 07:30:00,-0.02,-2e-05
2024-01-01 07:45:00,-0.02,-2e-05
2024-01-01 08:00:00,0.0,0.0
2024-01-01 08:15:00,0.0,0.0
2024-01-01 08:30:00,0.0,0.0
2024-01-01 08:45:00,0.0,0.0
2024-01-01 09:00:00,0.04,4e-05
2024-01-01 09:15:00,0.04,4e-05
2024-01-01 09:30:00,0.04,4e-05
2024-01-01 09:45:00,0.04,4e-05
2024-01-01 10:00:00,0.06,5.9999999999999995e-05
2024-01-01 10:15:00,0.06,5.9999999999999995e-05
2024-01-01 10:30:00,0.06,5.9999999999999995e-05
2024-01-01 10:45:00,0.06,5.9999999999999995e-05
2024-01-01 11:00:00,0.54,0.00054
2024-01-01 11:15:00,0.54,0.00054
2024-01-01 11:30:00,0.54,0.00054
2024-01-01 11:45:00,0.54,0.00054
2024-01-01 12:00:00,2.24,0.0022400000000000002
2024-01-01 12:15:00,2.24,0.0022400000000000002
2024-01-01 12:30:00,2.24,0.0022400000000000002
2024-01-01 12:45:00,2.24,0.0022400000000000002
2024-01-01 13:00:00,1.96,0.00196
2024-01-01 13:15:00,1.96,0.00196
2024-01-01 13:30:00,1.96,0.00196
2024-01-01 13:45:00,1.96,0.00196
2024-01-01 14:00:00,1.04,0.0010400000000000001
2024-01-01 14:15:00,1.04,0.0010400000000000001
2024-01-01 14:30:00,1.04,0.0010400000000000001
