,BEV Ladezustand [kWh],BEV Entladen [kW],BEV Laden [kW],BEV Fahrverbrauch [kW],BEV V2G Entladung (vor Wandlung) [kW]
2022-01-01 00:00:00,38.5,0.0,9.8676667,0.0,0.0
2022-01-01 00:15:00,40.966917,1.2222222,0.0,0.0,12.222222
2022-01-01 00:30:00,40.661361,1.2222222,0.0,0.0,12.222222
2022-01-01 00:45:00,40.355806,1.2222222,0.0,0.0,12.222222
2022-01-01 01:00:00,40.05025,1.2222222,0.0,0.0,12.222222
2022-01-01 01:15:00,39.744694,0.0,4.3083987,0.0,0.0
2022-01-01 01:30:00,40.821794,2.1628889,0.0,0.0,12.222222
2022-01-01 01:45:00,40.281072,1.6288222,0.0,0.0,12.222222
2022-01-01 02:00:00,39.873866,1.5768889,0.0,0.0,12.222222
2022-01-01 02:15:00,39.479644,1.8922222,0.0,0.0,12.222222
2022-01-01 02:30:00,39.006589,2.1360889,0.0,0.0,12.222222
2022-01-01 02:45:00,38.472566,1.5622889,0.0,0.0,12.222222
2022-01-01 03:00:00,38.081994,1.6226222,0.0,0.0,12.222222
2022-01-01 03:15:00,37.676339,1.5713556,0.0,0.0,12.222222
2022-01-01 03:30:00,37.2835,1.5340889,0.0,0.0,12.222222
2022-01-01 03:45:00,36.899977,1.5752889,0.0,0.0,12.222222
2022-01-01 04:00:00,36.506155,1.4674889,0.0,0.0,12.222222
2022-01-01 04:15:00,36.139283,1.5020889,0.0,0.0,12.222222
2022-01-01 04:30:00,35.763761,1.5186222,0.0,0.0,12.222222
2022-01-01 04:45:00,35.384105,1.5857556,0.0,0.0,12.222222
2022-01-01 05:00:00,34.987666,1.5962889,0.0,0.0,12.222222
2022-01-01 05:15:00,34.588594,1.8201556,0.0,0.0,12.222222
2022-01-01 05:30:00,34.133555,1.9244889,0.0,0.0,12.222222
2022-01-01 05:45:00,33.652433,1.6778889,0.0,0.0,12.222222
2022-01-01 06:00:00,33.232961,1.7026222,0.0,0.0,12.222222
2022-01-01 06:15:00,32.807305,1.6467185,0.0,1.6467185366648915,0.0
2022-01-01 06:30:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 06:45:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 07:00:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 07:15:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 07:30:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 07:45:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 08:00:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 08:15:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 08:30:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 08:45:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 09:00:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 09:15:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 09:30:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 09:45:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 10:00:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 10:15:00,32.395626,0.0,0.0,0.0,0.0
2022-01-01 10:30:00,32.395626,0.0,0.0,0.0,0.0
