,Haushaltslast [kW],PV-Erzeugung [kW],Netzbezug [kW],Netzeinspeisung [kW],V2G Entladung ins Haus [kW],Heimspeicher Laden [kW],Heimspeicher Entladen [kW],Heimspeicher Ladezustand [kWh],BEV Laden [kW],BEV Entladen [kW],BEV Fahrverbrauch [kW],BEV V2G Entladung (vor Wandlung) [kW],BEV Ladezustand [kWh]
2022-01-01 00:00:00,0.1323333333333333,0.0,0.0,0.0,0.0,0.0,10.0,5.1,9.8676667,0.0,0.0,0.0,38.5
2022-01-01 00:15:00,0.1536,0.0,0.0,0.0,11.0,0.0,0.1536,2.4671456,0.0,1.2222222,0.0,12.222222,40.966917
2022-01-01 00:30:00,0.0998666666666666,0.0,0.0,0.0,11.0,0.0,0.099866667,2.4261075,0.0,1.2222222,0.0,12.222222,40.661361
2022-01-01 00:45:00,0.1444,0.0,0.0,0.0,11.0,0.0,0.1444,2.39922,0.0,1.2222222,0.0,12.222222,40.355806
2022-01-01 01:00:00,0.2248,0.0,0.0,0.0,11.0,0.0,0.2248,2.36062,0.0,1.2222222,0.0,12.222222,40.05025
2022-01-01 01:15:00,0.5275333333333333,0.0,0.0,0.0,0.0,0.0,4.835932,2.3008717,4.3083987,0.0,0.0,0.0,39.744694
2022-01-01 01:30:00,0.9406666666666668,0.0,0.0,0.0,11.0,0.0,0.0,1.0276826,0.0,2.1628889,0.0,12.222222,40.821794
2022-01-01 01:45:00,0.4066,0.0,0.0,0.0,11.0,0.0,0.0,1.0274256,0.0,1.6288222,0.0,12.222222,40.281072
2022-01-01 02:00:00,0.3546666666666667,0.0,0.0,0.0,11.0,0.0,0.0,1.0271686,0.0,1.5768889,0.0,12.222222,39.873866
2022-01-01 02:15:00,0.67,0.0,0.0,0.0,11.0,0.0,0.0,1.0269118,0.0,1.8922222,0.0,12.222222,39.479644
2022-01-01 02:30:00,0.9138666666666668,0.0,0.0,0.0,11.0,0.0,0.0,1.0266549,0.0,2.1360889,0.0,12.222222,39.006589
2022-01-01 02:45:00,0.3400666666666667,0.0,0.0,0.0,11.0,0.0,0.0,1.0263982,0.0,1.5622889,0.0,12.222222,38.472566
2022-01-01 03:00:00,0.4004,0.0,0.0,0.0,11.0,0.0,0.0,1.0261415,0.0,1.6226222,0.0,12.222222,38.081994
2022-01-01 03:15:00,0.3491333333333333,0.0,0.0,0.0,11.0,0.0,0.0,1.0258848,0.0,1.5713556,0.0,12.222222,37.676339
2022-01-01 03:30:00,0.3118666666666667,0.0,0.0,0.0,11.0,0.0,0.0,1.0256283,0.0,1.5340889,0.0,12.222222,37.2835
2022-01-01 03:45:00,0.3530666666666666,0.0,0.0,0.0,11.0,0.0,0.0,1.0253718,0.0,1.5752889,0.0,12.222222,36.899977
2022-01-01 04:00:00,0.2452666666666667,0.0,0.0,0.0,11.0,0.0,0.0,1.0251153,0.0,1.4674889,0.0,12.222222,36.506155
2022-01-01 04:15:00,0.2798666666666666,0.0,0.0,0.0,11.0,0.0,0.0,1.024859,0.0,1.5020889,0.0,12.222222,36.139283
2022-01-01 04:30:00,0.2964,0.0,0.0,0.0,11.0,0.0,0.0,1.0246026,0.0,1.5186222,0.0,12.222222,35.763761
2022-01-01 04:45:00,0.3635333333333334,0.0,0.0,0.0,11.0,0.0,0.0,1.0243464,0.0,1.5857556,0.0,12.222222,35.384105
2022-01-01 05:00:00,0.3740666666666666,0.0,0.0,0.0,11.0,0.0,0.0,1.0240902,0.0,1.5962889,0.0,12.222222,34.987666
2022-01-01 05:15:00,0.5979333333333333,0.0,0.0,0.0,11.0,0.0,0.0,1.0238341,0.0,1.8201556,0.0,12.222222,34.588594
2022-01-01 05:30:00,0.7022666666666667,0.0,0.0,0.0,11.0,0.0,0.0,1.023578,0.0,1.9244889,0.0,12.222222,34.133555
2022-01-01 05:45:00,0.4556666666666666,0.0,0.0,0.0,11.0,0.0,0.0,1.0233221,0.0,1.6778889,0.0,12.222222,33.652433
2022-01-01 06:00:00,0.4804,0.0,0.0,0.0,11.0,0.0,0.0,1.0230661,0.0,1.7026222,0.0,12.222222,33.232961
2022-01-01 06:15:00,0.6252000000000001,0.0,0.6252,0.0,0.0,0.0,0.0,1.0228103,0.0,1.6467185,1.6467185366648915,0.0,32.807305
2022-01-01 06:30:00,0.4194,0.0,0.4194,0.0,0.0,0.0,0.0,1.0225545,0.0,0.0,0.0,0.0,32.395626
2022-01-01 06:45:00,0.2796,0.0,0.2796,0.0,0.0,0.0,0.0,1.0222987,0.0,0.0,0.0,0.0,32.395626
2022-01-01 07:00:00,0.4166666666666667,0.0,0.41666667,0.0,0.0,0.0,0.0,1.0220431,0.0,0.0,0.0,0.0,32.395626
2022-01-01 07:15:00,0.3558666666666666,0.0,0.35586667,0.0,0.0,0.0,0.0,1.0217875,0.0,0.0,0.0,0.0,32.395626
2022-01-01 07:30:00,0.2046666666666666,0.0,0.20466667,0.0,0.0,0.0,0.0,1.0215319,0.0,0.0,0.0,0.0,32.395626
2022-01-01 07:45:00,0.1764,0.0,0.1764,0.0,0.0,0.0,0.0,1.0212764,0.0,0.0,0.0,0.0,32.395626
2022-01-01 08:00:00,0.1749333333333333,0.0,0.17493333,0.0,0.0,0.0,0.0,1.021021,0.0,0.0,0.0,0.0,32.395626
2022-01-01 08:15:00,0.2198,0.0,0.2198,0.0,0.0,0.0,0.0,1.0207657,0.0,0.0,0.0,0.0,32.395626
2022-01-01 08:30:00,0.1875333333333333,0.0620868159136948,0.12544652,0.0,0.0,0.0,0.0,1.0205104,0.0,0.0,0.0,0.0,32.395626
2022-01-01 08:45:00,0.3526,0.2788562499193351,0.07374375,0.0,0.0,0.0,0.0,1.0202552,0.0,0.0,0.0,0.0,32.395626
2022-01-01 09:00:00,0.2616666666666666,0.6113450924159455,0.0,0.34860434,0.0,0.0010740871,0.0,1.02,0.0,0.0,0.0,0.0,32.395626
2022-01-01 09:15:00,0.2326666666666666,0.9779865471582287,0.0,0.74424579,0.0,0.0010740871,0.0,1.02,0.0,0.0,0.0,0.0,32.395626
2022-01-01 09:30:00,0.1891999999999999,1.335779265945734,0.0,1.1455052,0.0,0.0010740871,0.0,1.02,0.0,0.0,0.0,0.0,32.395626
2022-01-01 09:45:00,0.189,1.6678746549278125,0.0,1.4057154,0.0,0.073159212,0.0,1.02,0.0,0.0,0.0,0.0,32.395626
2022-01-01 10:00:00,0.2513333333333333,1.9684572488687224,0.0,0.0,0.0,1.7171239,0.0,1.0371202,0.0,0.0,0.0,0.0,32.395626
2022-01-01 10:15:00,0.2422,2.2358442008143986,0.0,0.0,0.0,1.9936442,0.0,1.4446778,0.0,0.0,0.0,0.0,32.395626
