,Heimspeicher Laden [kW],Heimspeicher Ladezustand [kWh],Heimspeicher Entladen [kW]
2022-01-01 00:00:00,0.0,5.1,10.0
2022-01-01 00:15:00,0.0,2.4671456,0.1536
2022-01-01 00:30:00,0.0,2.4261075,0.099866667
2022-01-01 00:45:00,0.0,2.39922,0.1444
2022-01-01 01:00:00,0.0,2.36062,0.2248
2022-01-01 01:15:00,0.0,2.3008717,4.835932
2022-01-01 01:30:00,0.0,1.0276826,0.0
2022-01-01 01:45:00,0.0,1.0274256,0.0
2022-01-01 02:00:00,0.0,1.0271686,0.0
2022-01-01 02:15:00,0.0,1.0269118,0.0
2022-01-01 02:30:00,0.0,1.0266549,0.0
2022-01-01 02:45:00,0.0,1.0263982,0.0
2022-01-01 03:00:00,0.0,1.0261415,0.0
2022-01-01 03:15:00,0.0,1.0258848,0.0
2022-01-01 03:30:00,0.0,1.0256283,0.0
2022-01-01 03:45:00,0.0,1.0253718,0.0
2022-01-01 04:00:00,0.0,1.0251153,0.0
2022-01-01 04:15:00,0.0,1.024859,0.0
2022-01-01 04:30:00,0.0,1.0246026,0.0
2022-01-01 04:45:00,0.0,1.0243464,0.0
2022-01-01 05:00:00,0.0,1.0240902,0.0
2022-01-01 05:15:00,0.0,1.0238341,0.0
2022-01-01 05:30:00,0.0,1.023578,0.0
2022-01-01 05:45:00,0.0,1.0233221,0.0
2022-01-01 06:00:00,0.0,1.0230661,0.0
2022-01-01 06:15:00,0.0,1.0228103,0.0
2022-01-01 06:30:00,0.0,1.0225545,0.0
2022-01-01 06:45:00,0.0,1.0222987,0.0
2022-01-01 07:00:00,0.0,1.0220431,0.0
2022-01-01 07:15:00,0.0,1.0217875,0.0
2022-01-01 07:30:00,0.0,1.0215319,0.0
2022-01-01 07:45:00,0.0,1.0212764,0.0
2022-01-01 08:00:00,0.0,1.021021,0.0
2022-01-01 08:15:00,0.0,1.0207657,0.0
2022-01-01 08:30:00,0.0,1.0205104,0.0
2022-01-01 08:45:00,0.0,1.0202552,0.0
2022-01-01 09:00:00,0.0010740871,1.02,0.0
